,source,element_id,element_path_value,element_short_value,element_definition_value,element_alias_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_requirements_value,element_extension_url,element_extension_valueBoolean_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_fixedUri_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_meaningWhenMissing_value,element_type_targetProfile_value,element_binding_valueSetUri_value,element_slicing_ordered_value,element_defaultValueInteger_value
316,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.extension,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,,,
317,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.value,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.value,Numerical value (with implicit precision),The value of the measured amount. The value includes an implicit precision in the presentation of the value.,,0,1,0..1,Quantity.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.2  / CQ - N/A', 'PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value']",The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).,decimal,ele-1,true,,,,,,,,,,,,Precision is handled implicitly in almost all cases of measurement.,,,,,,,,,,,,,,,,
318,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.comparator,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.comparator,< | <= | >= | > - how to understand the value,"How the value should be understood and represented - whether the actual value is greater or less than the stated value due to measurement issues; e.g. if the comparator is ""<"" , then the real value is < stated value.",,0,1,0..1,Quantity.comparator,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.1  / CQ.1', 'IVL properties']","This is labeled as ""Is Modifier"" because the comparator modifies the interpretation of the value significantly. If there is no comparator, then there is no modification of the value.",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,QuantityComparator,,required,How the Quantity should be understood and represented.,http://hl7.org/fhir/ValueSet/quantity-comparator,Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.,,,true,,,,,,,,,"If there is no comparator, then there is no modification of the value",,,,
319,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.unit,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.unit,Unit representation,A human-readable form of the unit.,,0,1,0..1,Quantity.unit,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.unit']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,"There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
320,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.system,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.system,System that defines coded unit form,The identification of the system that provides the coded form of the unit.,,0,1,0..1,Quantity.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'CO.codeSystem, PQ.translation.codeSystem']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,"['ele-1', 'qty-3']",true,,,,,,,,,,,,Need to know the system that defines the coded form of the unit.,,,,,,,,,,,,,,,,
321,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.code,MedicationRequest.dosageInstruction.maxDosePerPeriod.numerator.code,Coded form of the unit,A computer processable form of the unit in some unit representation system.,,0,1,0..1,Quantity.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.code, MO.currency, PQ.translation.code']","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.",code,ele-1,true,,,,,,,,,,,,"Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.",,,,,,,,,,,,,,,,
322,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator,Denominator value,The value of the denominator.,,0,1,0..1,Ratio.denominator,0,1,"['ele-1', 'qty-3']","['error', 'error']","['All FHIR elements must have a @value or children', 'If a code for the unit is present, the system SHALL also be present']","['hasValue() | (children().count() > id.count())', 'code.empty() or system.exists()']","['@value|f:*|h:div', 'not(exists(f:code)) or exists(f:system)']","['rim', 'v2', 'rim', 'rim']","['n/a', 'SN (see also Range) or CQ', 'PQ, IVL<PQ>, MO, CO, depending on the values', '.denominator']",The context of use may frequently define what kind of quantity this is and therefore what kind of units can be used. The context of use may also restrict the values for the comparator.,Quantity,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.id,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.extension,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,,,
325,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.value,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.value,Numerical value (with implicit precision),The value of the measured amount. The value includes an implicit precision in the presentation of the value.,,0,1,0..1,Quantity.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.2  / CQ - N/A', 'PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value']",The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).,decimal,ele-1,true,,,,,,,,,,,,Precision is handled implicitly in almost all cases of measurement.,,,,,,,,,,,,,,,,
326,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.comparator,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.comparator,< | <= | >= | > - how to understand the value,"How the value should be understood and represented - whether the actual value is greater or less than the stated value due to measurement issues; e.g. if the comparator is ""<"" , then the real value is < stated value.",,0,1,0..1,Quantity.comparator,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.1  / CQ.1', 'IVL properties']","This is labeled as ""Is Modifier"" because the comparator modifies the interpretation of the value significantly. If there is no comparator, then there is no modification of the value.",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,QuantityComparator,,required,How the Quantity should be understood and represented.,http://hl7.org/fhir/ValueSet/quantity-comparator,Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.,,,true,,,,,,,,,"If there is no comparator, then there is no modification of the value",,,,
327,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.unit,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.unit,Unit representation,A human-readable form of the unit.,,0,1,0..1,Quantity.unit,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.unit']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,"There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
328,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.system,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.system,System that defines coded unit form,The identification of the system that provides the coded form of the unit.,,0,1,0..1,Quantity.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'CO.codeSystem, PQ.translation.codeSystem']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,"['ele-1', 'qty-3']",true,,,,,,,,,,,,Need to know the system that defines the coded form of the unit.,,,,,,,,,,,,,,,,
329,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.code,MedicationRequest.dosageInstruction.maxDosePerPeriod.denominator.code,Coded form of the unit,A computer processable form of the unit in some unit representation system.,,0,1,0..1,Quantity.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.code, MO.currency, PQ.translation.code']","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.",code,ele-1,true,,,,,,,,,,,,"Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.",,,,,,,,,,,,,,,,
330,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration,MedicationRequest.dosageInstruction.maxDosePerAdministration,Upper limit on medication per administration,Upper limit on medication per administration.,,0,1,0..1,Dosage.maxDosePerAdministration,0,1,"['ele-1', 'qty-3', 'sqty-1']","['error', 'error', 'error']","['All FHIR elements must have a @value or children', 'If a code for the unit is present, the system SHALL also be present', 'The comparator is not used on a SimpleQuantity']","['hasValue() | (children().count() > id.count())', 'code.empty() or system.exists()', 'comparator.empty()']","['@value|f:*|h:div', 'not(exists(f:code)) or exists(f:system)', 'not(exists(f:comparator))']","['rim', 'v2', 'rim', 'rim']","['n/a', 'SN (see also Range) or CQ', 'PQ, IVL<PQ>, MO, CO, depending on the values', 'not supported']","This is intended for use as an adjunct to the dosage when there is an upper cap.  For example, a body surface area related dose with a maximum amount, such as 1.5 mg/m2 (maximum 2 mg) IV over 5 – 10 minutes would have doseQuantity of 1.5 mg/m2 and maxDosePerAdministration of 2 mg.",Quantity,ele-1,true,,,,,,,,,,,,The maximum total quantity of a therapeutic substance that may be administered to a subject per administration.,,,false,,,http://hl7.org/fhir/StructureDefinition/SimpleQuantity,,,,,,,,,,
331,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.id,MedicationRequest.dosageInstruction.maxDosePerAdministration.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.extension,MedicationRequest.dosageInstruction.maxDosePerAdministration.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,,,
333,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.value,MedicationRequest.dosageInstruction.maxDosePerAdministration.value,Numerical value (with implicit precision),The value of the measured amount. The value includes an implicit precision in the presentation of the value.,,0,1,0..1,Quantity.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.2  / CQ - N/A', 'PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value']",The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).,decimal,ele-1,true,,,,,,,,,,,,Precision is handled implicitly in almost all cases of measurement.,,,,,,,,,,,,,,,,
334,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.comparator,MedicationRequest.dosageInstruction.maxDosePerAdministration.comparator,< | <= | >= | > - how to understand the value,Not allowed to be used in this context,,0,0,0..0,Quantity.comparator,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.1  / CQ.1', 'IVL properties']","This is labeled as ""Is Modifier"" because the comparator modifies the interpretation of the value significantly. If there is no comparator, then there is no modification of the value.",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,QuantityComparator,,required,How the Quantity should be understood and represented.,http://hl7.org/fhir/ValueSet/quantity-comparator,Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.,,,true,,,,,,,,,"If there is no comparator, then there is no modification of the value",,,,
335,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.unit,MedicationRequest.dosageInstruction.maxDosePerAdministration.unit,Unit representation,A human-readable form of the unit.,,0,1,0..1,Quantity.unit,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.unit']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,"There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
336,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.system,MedicationRequest.dosageInstruction.maxDosePerAdministration.system,System that defines coded unit form,The identification of the system that provides the coded form of the unit.,,0,1,0..1,Quantity.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'CO.codeSystem, PQ.translation.codeSystem']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,"['ele-1', 'qty-3']",true,,,,,,,,,,,,Need to know the system that defines the coded form of the unit.,,,,,,,,,,,,,,,,
337,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerAdministration.code,MedicationRequest.dosageInstruction.maxDosePerAdministration.code,Coded form of the unit,A computer processable form of the unit in some unit representation system.,,0,1,0..1,Quantity.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.code, MO.currency, PQ.translation.code']","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.",code,ele-1,true,,,,,,,,,,,,"Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.",,,,,,,,,,,,,,,,
338,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime,MedicationRequest.dosageInstruction.maxDosePerLifetime,Upper limit on medication per lifetime of the patient,Upper limit on medication per lifetime of the patient.,,0,1,0..1,Dosage.maxDosePerLifetime,0,1,"['ele-1', 'qty-3', 'sqty-1']","['error', 'error', 'error']","['All FHIR elements must have a @value or children', 'If a code for the unit is present, the system SHALL also be present', 'The comparator is not used on a SimpleQuantity']","['hasValue() | (children().count() > id.count())', 'code.empty() or system.exists()', 'comparator.empty()']","['@value|f:*|h:div', 'not(exists(f:code)) or exists(f:system)', 'not(exists(f:comparator))']","['rim', 'v2', 'rim', 'rim']","['n/a', 'SN (see also Range) or CQ', 'PQ, IVL<PQ>, MO, CO, depending on the values', 'not supported']",The context of use may frequently define what kind of quantity this is and therefore what kind of units can be used. The context of use may also restrict the values for the comparator.,Quantity,ele-1,true,,,,,,,,,,,,The maximum total quantity of a therapeutic substance that may be administered per lifetime of the subject.,,,false,,,http://hl7.org/fhir/StructureDefinition/SimpleQuantity,,,,,,,,,,
339,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.id,MedicationRequest.dosageInstruction.maxDosePerLifetime.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.extension,MedicationRequest.dosageInstruction.maxDosePerLifetime.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,,,
341,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.value,MedicationRequest.dosageInstruction.maxDosePerLifetime.value,Numerical value (with implicit precision),The value of the measured amount. The value includes an implicit precision in the presentation of the value.,,0,1,0..1,Quantity.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.2  / CQ - N/A', 'PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value']",The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).,decimal,ele-1,true,,,,,,,,,,,,Precision is handled implicitly in almost all cases of measurement.,,,,,,,,,,,,,,,,
342,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.comparator,MedicationRequest.dosageInstruction.maxDosePerLifetime.comparator,< | <= | >= | > - how to understand the value,Not allowed to be used in this context,,0,0,0..0,Quantity.comparator,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'SN.1  / CQ.1', 'IVL properties']","This is labeled as ""Is Modifier"" because the comparator modifies the interpretation of the value significantly. If there is no comparator, then there is no modification of the value.",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,QuantityComparator,,required,How the Quantity should be understood and represented.,http://hl7.org/fhir/ValueSet/quantity-comparator,Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.,,,true,,,,,,,,,"If there is no comparator, then there is no modification of the value",,,,
343,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.unit,MedicationRequest.dosageInstruction.maxDosePerLifetime.unit,Unit representation,A human-readable form of the unit.,,0,1,0..1,Quantity.unit,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.unit']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,"There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
344,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.system,MedicationRequest.dosageInstruction.maxDosePerLifetime.system,System that defines coded unit form,The identification of the system that provides the coded form of the unit.,,0,1,0..1,Quantity.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'CO.codeSystem, PQ.translation.codeSystem']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,"['ele-1', 'qty-3']",true,,,,,,,,,,,,Need to know the system that defines the coded form of the unit.,,,,,,,,,,,,,,,,
345,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.maxDosePerLifetime.code,MedicationRequest.dosageInstruction.maxDosePerLifetime.code,Coded form of the unit,A computer processable form of the unit in some unit representation system.,,0,1,0..1,Quantity.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', '(see OBX.6 etc.) / CQ.2', 'PQ.code, MO.currency, PQ.translation.code']","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.",code,ele-1,true,,,,,,,,,,,,"Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.",,,,,,,,,,,,,,,,
346,ARS|s_CareConnect-GPC-MedicationRequest-1,MedicationRequest.dosageInstruction.rate[x],MedicationRequest.dosageInstruction.rate[x],Amount of medication per unit of time,Amount of medication per unit of time.,,0,1,0..1,Dosage.rate[x],0,1,"['ele-1', 'rat-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Numerator and denominator SHALL both be present, or both are absent. If both are absent, there SHALL be some extension present']","['hasValue() | (children().count() > id.count())', '(numerator.empty() xor denominator.exists()) and (numerator.exists() or extension.exists())']","['@value|f:*|h:div', '(count(f:numerator) = count(f:denominator)) and ((count(f:numerator) > 0) or (count(f:extension) > 0))']","['rim', 'v2', 'rim', 'rim']","['n/a', 'N/A', 'RTO', '.rateQuantity']","It is possible to supply both a rate and a doseQuantity to provide full details about how the medication is to be administered and supplied. If the rate is intended to change over time, depending on local rules/regulations, each change should be captured as a new version of the MedicationRequest with an updated rate, or captured with a new MedicationRequest with the new rate.","['Ratio', 'Range', 'Quantity']",ele-1,true,,,,,,,,,,,,"Identifies the speed with which the medication was or will be introduced into the patient. Typically the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time e.g. 500 ml per 2 hours.   Other examples: 200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.  Sometimes, a rate can imply duration when expressed as total volume / duration (e.g.  500mL/2 hours implies a duration of 2 hours).  However, when rate doesn't imply duration (e.g. 250mL/hour), then the timing.repeat.duration is needed to convey the infuse over time period.",,,,,,http://hl7.org/fhir/StructureDefinition/SimpleQuantity,,,,,,,,,,
